#logging stats for session scenario_20220301_221225_107
#[Histogram log format version 1.0]
#[StartTime: 1646172746.199 (seconds since epoch), Tue Mar 01 22:12:26 UTC 2022]
#[TimeUnit: NANOSECONDS]
#Tag,Interval_Start,Interval_Length,count,min,p25,p50,p75,p90,p95,p98,p99,p999,p9999,max
Tag=cqlkeyvalue_astra_main.cycles.servicetime,303.114,16.888,849,2002944,2071551,2078719,2125823,2170879,2172927,2172927,2172927,2172927,2172927,91619327
Tag=cqlkeyvalue_astra_main.cycles.servicetime,320.002,19.999,1000,2030592,2089983,2103295,2123775,2146303,2146303,2146303,2146303,2146303,2146303,45055999
Tag=cqlkeyvalue_astra_main.cycles.servicetime,340.001,20.000,1000,1905664,2092031,2146303,2168831,2183167,2187263,2187263,2187263,2187263,2187263,56918015
Tag=cqlkeyvalue_astra_main.cycles.servicetime,360.001,20.001,1000,1939456,2097151,2131967,2152447,2156543,2164735,2164735,2164735,2164735,2164735,40927231
Tag=cqlkeyvalue_astra_main.cycles.servicetime,380.002,19.999,1000,2007040,2089983,2156543,2168831,2172927,2174975,2174975,2174975,2174975,2174975,54132735
Tag=cqlkeyvalue_astra_main.cycles.servicetime,400.001,20.001,1000,1883136,1994751,2018303,2045951,2052095,2063359,2063359,2063359,2063359,2063359,51773439
Tag=cqlkeyvalue_astra_main.cycles.servicetime,420.002,19.999,1000,2026496,2059263,2121727,2189311,2207743,2215935,2215935,2215935,2215935,2215935,80740351
Tag=cqlkeyvalue_astra_main.cycles.servicetime,440.001,20.001,1000,2065408,2092031,2140159,2148351,2179071,2187263,2187263,2187263,2187263,2187263,40534015
Tag=cqlkeyvalue_astra_main.cycles.servicetime,460.002,19.999,1000,1975296,2103295,2129919,2183167,2193407,2195455,2195455,2195455,2195455,2195455,41156607
Tag=cqlkeyvalue_astra_main.cycles.servicetime,480.001,20.000,1000,1957888,2070527,2170879,2191359,2203647,2228223,2228223,2228223,2228223,2228223,41484287
Tag=cqlkeyvalue_astra_main.cycles.servicetime,500.001,20.001,999,2011136,2146303,2224127,2242559,2254847,2269183,2269183,2269183,2269183,2269183,47710207
Tag=cqlkeyvalue_astra_main.cycles.servicetime,520.002,19.999,1001,2101248,2207743,2236415,2250751,2265087,2265087,2265087,2265087,2265087,2279423,45252607
Tag=cqlkeyvalue_astra_main.cycles.servicetime,540.001,20.000,1000,1933312,2019327,2079743,2111487,2111487,2123775,2123775,2123775,2123775,2123775,42893311
Tag=cqlkeyvalue_astra_main.cycles.servicetime,560.001,20.001,1000,1960960,2097151,2117631,2144255,2179071,2179071,2179071,2179071,2179071,2179071,41254911
Tag=cqlkeyvalue_astra_main.cycles.servicetime,580.002,19.999,1000,1896448,2007039,2056191,2085887,2101247,2117631,2117631,2117631,2117631,2117631,38928383
Tag=cqlkeyvalue_astra_main.cycles.servicetime,600.001,19.972,151,1980416,1981439,1981439,2077695,2077695,2077695,2077695,2077695,2077695,2077695,40730623
